Model,Target,Threshold,Accuracy,Bal_Accuracy,Precision,Recall,Specificity,F1_score,ROC_AUC,PR_AUC,MCC
xgb,ahr,0.5,0.9542,0.7437,0.443,0.5147,0.9727,0.4762,0.9264,0.5154,0.4538
rf,ahr,0.5,0.9607,0.719,0.5167,0.4559,0.982,0.4844,0.9256,0.4796,0.465
svm,ahr,0.5,0.9625,0.6142,0.5926,0.2353,0.9932,0.3368,0.8935,0.4183,0.3581
lr,ahr,0.5,0.8108,0.831,0.1585,0.8529,0.8091,0.2673,0.8927,0.2619,0.316
stacking,ahr,0.5,0.9084,0.8466,0.276,0.7794,0.9138,0.4077,0.926,0.5191,0.4294
xgb,car,0.5,0.965,0.7446,0.3103,0.5143,0.9749,0.3871,0.9438,0.3898,0.3828
rf,car,0.5,0.9509,0.7933,0.2472,0.6286,0.958,0.3548,0.925,0.3337,0.3742
svm,car,0.5,0.981,0.5851,0.75,0.1714,0.9987,0.2791,0.9047,0.4029,0.353
lr,car,0.5,0.8097,0.8189,0.0871,0.8286,0.8093,0.1576,0.8792,0.1356,0.2293
stacking,car,0.5,0.8705,0.85,0.1239,0.8286,0.8714,0.2156,0.9395,0.433,0.2894
xgb,pxr,0.5,0.8523,0.805,0.4125,0.744,0.866,0.5308,0.8844,0.5002,0.4792
rf,pxr,0.5,0.8697,0.7628,0.443,0.625,0.9006,0.5185,0.8771,0.4709,0.4545
svm,pxr,0.5,0.8904,0.6107,0.525,0.25,0.9714,0.3387,0.8785,0.4819,0.3107
lr,pxr,0.5,0.7607,0.7508,0.2831,0.7381,0.7636,0.4092,0.8367,0.3076,0.3481
stacking,pxr,0.5,0.8275,0.8301,0.3784,0.8333,0.8268,0.5204,0.8895,0.5084,0.4831
